Long,Lat,type,name
-71.1007933,42.3738746,restaurant,Punjabi Dhaba
-71.1011293,42.3636635,restaurant,Veggie Galaxy
-71.0986966,42.3735494,restaurant,Highland Fried
-70.9372324,42.217659,restaurant,The Next Page
-71.1040558,42.3493957,restaurant,Warren Towers Dining Hall
-71.0969245,42.3502982,restaurant,Shelton Dining Hall
-71.1198091,42.3525797,restaurant,West Campus Dining Hall
-71.1073101,42.3498593,restaurant,Nud Pob
-71.1063293,42.3496762,restaurant,Bejing Cafe
-71.1217868,42.3515752,restaurant,Pho Viet
-71.1157486,42.3522669,restaurant,Loose Leafs
-72.6327934,42.31794,restaurant,Green Bean
-72.6314225,42.3186545,restaurant,Belly of the Beast
-72.6334265,42.3179073,restaurant,Mama Iguana's
-72.6332022,42.3179128,restaurant,Noodles
-72.6326818,42.3179496,restaurant,Sam's Pizzeria and Cafe
-72.6329628,42.3179327,restaurant,Viva Fresh Pasta
-72.6311174,42.3175429,restaurant,Caminito Steakhouse
-72.6311506,42.3175846,restaurant,Osaka
-72.6316096,42.3174918,restaurant,HighBrow Wood Fired Kitchen + Bar
-72.6316228,42.3173838,restaurant,Taipei & Tokyo
-71.1003126,42.3731225,restaurant,City Girl Cafe
-71.1003261,42.3740824,restaurant,Ole
-71.0989422,42.3735802,restaurant,Corazon de Frida Mexican Cantina
-71.092552,42.366671,restaurant,Atasca
-71.0855928,42.3627551,restaurant,Champion's Sports Bar
-72.0815067,42.3918045,restaurant,Dreamers bar&grill
-71.0979737,41.8118135,restaurant,Bay View Cafe
-71.0837122,42.406004,restaurant,Kabob Corner
-71.0530222,42.3577005,restaurant,Vintage Lounge
-71.747584,42.23923,restaurant,Chuck E. Cheese's
-71.74746,42.238997,restaurant,Food Works
-71.4320409,42.6877282,restaurant,Bella Italia
-71.4276157,42.6833236,restaurant,Boston Pizza Company
-71.2098337,42.3746472,restaurant,John Brewer's Tavern
-71.3961808,42.6591294,restaurant,Left Bank Restaurant
-71.0681474,42.4410203,restaurant,Bobby C's Ristorante
-71.0570406,42.3614571,restaurant,The Bell in Hand
-71.0569532,42.3612749,restaurant,Union Oyster House
-71.4197903,42.6708705,restaurant,Country View Diner
-71.1232552,42.3911695,restaurant,Darul Kabab
-71.1220661,42.3953258,restaurant,Genki Ya
-71.1218879,42.395624,restaurant,Foundry on Elm
-71.12144,42.3949614,restaurant,Martsa on Elm
-71.1237826,42.398257,restaurant,Orleans
-71.121746,42.3954273,restaurant,The Burren
-71.1384553,42.3813485,restaurant,The Village Kitchen
-71.0688299,42.4250323,restaurant,Jay's Pizza and Ice Cream
-71.1380065,42.3811264,restaurant,Full Moon
-71.1209963,42.3944389,restaurant,Out of the Blue
-71.1208666,42.3943686,restaurant,Rosebud Diner
-71.2498404,42.2014138,restaurant,Bubbling Brook Restaurant
-71.1756481,42.3974275,restaurant,Il Casale
-71.1752919,42.3966728,restaurant,Nic'k's II
-71.1749571,42.3977635,restaurant,Patou
-71.1758525,42.3970467,restaurant,Asai
-73.204098,42.7103311,restaurant,Pera Mediterranean Bistro
-73.1106835,42.6958896,restaurant,Angelina's Subs
-73.1127783,42.6983675,restaurant,Papa Gino's
-71.4332908,42.2401172,restaurant,Krua Khun Yah
-72.6291838,42.3218341,restaurant,Joe's Pizza & Spaghetti (Joe's Cafe)
-72.6285277,42.3206465,restaurant,Thai Garden
-72.6290062,42.3202059,restaurant,Fitzwilly's
-71.3254977,42.4146781,restaurant,AKA Bistro
-71.6840084,42.1164228,restaurant,Village Pizza
-71.104116,42.3646118,restaurant,Green Street Grill
-71.6438862,42.3208703,restaurant,SpecialTeas
-71.1978417,42.5839673,restaurant,Mango II
-72.6289244,42.3198683,restaurant,India Palace
-72.628779,42.3199939,restaurant,Local Burger
-72.6304649,42.3188002,restaurant,Pinocchio's
-72.6282197,42.3205313,restaurant,Spoleto
-72.6304158,42.3188322,restaurant,Teapot
-71.1522156,42.3037669,restaurant,Mandarin Gourmet
-71.1575105,42.2963352,restaurant,Bertucci's
-71.182601,42.5557828,restaurant,Golden Ginger
-71.1205914,42.2670056,restaurant,Pizza Hut
-71.1218283,42.3955129,restaurant,Saloon
-71.0805617,42.4227607,restaurant,Big A Pizza and Subs
-71.1211588,42.3945817,restaurant,The Painted Burro
-71.0808141,42.3458132,restaurant,Brasserie JO
-71.5744829,42.6104425,restaurant,Filho's Cucina
-71.1111779,41.9360384,restaurant,Home Plate
-70.8155619,42.6224058,restaurant,The Farm Bar and Grille
-70.8160661,42.6223861,restaurant,Essex Pizza
-71.42195,42.566498,restaurant,Karma
-71.0807423,42.3865984,restaurant,Los Paisanos
-72.6299636,42.3199144,restaurant,Jake's
-72.6293626,42.3199608,restaurant,Oriental Taste
-73.2825418,42.3581475,restaurant,Zinc
-73.2823245,42.3586588,restaurant,Cafe Lucia
-73.2832606,42.3597251,restaurant,Haven
-73.283156,42.3578046,restaurant,Fin
-73.2834806,42.3576202,restaurant,Betty's Pizza Shack
-73.2836951,42.3593842,restaurant,Frankie's Ristorante Italiano
-73.2832311,42.3574835,restaurant,Nudel
-72.8799099,42.2348804,restaurant,Four Main Street Bar & Grill
-71.4318716,42.2427085,restaurant,Town House Pizza
-72.8731468,42.2359411,restaurant,River Cafe
-72.864542,42.2773199,restaurant,The Rapids
